fips,PST045212,PST045211,PST040210,PST120212,PST120211,POP010210,AGE135211,AGE295211,AGE775211,SEX255211,RHI125211,RHI225211,RHI325211,RHI425211,RHI525211,RHI625211,RHI725211,RHI825211,POP715211,POP645211,POP815211,EDU635211,EDU685211,VET605211,LFE305211,HSG010211,HSG445211,HSG096211,HSG495211,HSD410211,HSD310211,INC910211,INC110211,PVY020211,BZA010210,BZA110210,BZA115210,NES010210,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030211,LND110210,POP060210
12091,0,183482,180822,0.0,1.5,180822,6.5,22.1,14.2,49.7,82.7,9.8,0.7,3.1,0.2,3.6,7.2,76.7,79.8,7.2,9.6,90.7,26.9,30694,23.0,92394,66.9,26.1,196800,71609,2.48,28505,54140,11.7,4995,56733,-2.7,13779,18467,0.0,0.4,4.2,0.0,4.1,27.8,656730,236877,3031043,16754,491894,749,930.25,194.4
12093,0,40140,39996,0.0,0.4,39996,6.6,24.0,17.2,46.4,87.9,8.6,1.3,0.9,0.1,1.2,24.5,64.7,86.7,12.7,24.5,69.0,10.1,3540,24.6,18656,74.7,4.6,124300,13857,2.74,19493,36929,23.7,748,6176,-7.0,2294,2828,0.0,0.9,0.0,0.0,0.0,0.0,0,85257,430587,10758,46949,42,768.91,52.0
12095,0,1169107,1145956,0.0,2.0,1145956,6.4,23.4,9.9,50.7,70.0,21.7,0.5,5.2,0.2,2.3,27.5,45.8,79.3,19.4,33.0,86.9,30.0,67052,26.3,492209,59.6,32.5,211100,408605,2.72,25494,49731,14.9,31531,590962,2.8,96864,113155,10.9,0.0,6.1,0.1,20.9,29.9,10921814,17080688,19195634,18005,6645089,4083,903.43,1268.5
12097,0,276163,268685,0.0,2.8,268685,6.6,25.9,11.3,50.8,80.8,12.8,0.7,3.0,0.2,2.5,46.3,39.6,83.2,20.0,45.5,84.2,18.0,16569,30.1,129830,64.8,25.5,170200,93100,2.82,20440,46479,13.9,4821,59493,23.8,21986,24646,0.0,0.6,5.4,0.0,37.6,29.0,644949,3044187,2868737,11107,890451,785,1327.45,202.4
12099,0,1335187,1320134,0.0,1.1,1320134,5.3,20.3,21.8,51.6,77.4,17.8,0.6,2.5,0.1,1.5,19.6,59.6,85.0,22.1,27.4,87.1,32.2,108136,24.3,668159,72.6,40.9,236600,523559,2.46,33960,52951,13.3,41710,425427,-5.2,138633,163433,8.9,0.5,3.1,0.0,14.4,27.8,4240652,12017516,19321650,15278,3088613,2470,1969.76,670.2
12101,0,466457,464697,0.0,0.4,464697,5.4,20.9,21.0,51.4,90.4,5.1,0.4,2.3,0.1,1.8,12.1,79.4,84.6,9.1,13.1,86.6,19.7,52936,29.7,231008,78.3,10.9,145100,184270,2.48,24116,44103,14.0,8326,75326,15.5,29560,38812,0.0,1.0,3.3,0.0,9.1,28.3,745172,807398,4746208,10328,432390,1401,746.89,622.2
12103,0,917398,916542,0.0,0.1,916542,4.6,17.5,21.4,52.0,83.8,10.7,0.4,3.1,0.1,1.8,8.3,76.5,85.1,11.2,13.0,88.3,27.0,101437,23.1,504146,69.6,36.4,172900,401598,2.23,29232,45891,12.6,26266,338915,-23.2,71930,98528,4.6,0.3,3.8,0.0,5.0,29.4,8062020,12378394,14826852,16244,1925067,355,273.80,3347.5
12105,0,609492,602095,0.0,1.2,602095,6.3,23.2,18.3,51.0,80.4,15.3,0.6,1.8,0.1,1.8,18.1,64.1,82.2,10.6,18.5,82.1,18.0,54153,25.8,281004,71.7,14.3,133200,221975,2.63,21952,44398,16.4,10943,159201,-1.4,34892,45012,7.1,0.0,3.3,0.0,12.8,25.4,7178034,13241719,6420144,11195,699617,1156,1797.84,334.9
12107,0,74041,74366,0.0,-0.4,74364,6.2,22.5,19.3,50.5,80.5,16.6,0.6,0.7,0.1,1.5,9.4,72.1,88.3,4.8,8.7,77.7,12.5,8969,27.9,37406,77.2,7.1,105300,29061,2.51,18609,34174,24.6,1278,13105,3.2,3709,5259,8.5,0.0,0.0,0.0,0.0,0.0,982580,0,671648,9108,48880,36,727.62,102.2
12109,0,195823,190039,0.0,3.0,190039,5.1,22.7,16.1,51.4,89.8,5.9,0.3,2.3,0.1,1.6,5.5,84.8,82.4,6.3,8.4,92.5,39.3,18986,25.2,91348,76.9,19.9,279700,71807,2.55,36694,64153,9.5,4933,43594,15.0,16021,19871,2.3,0.5,2.7,0.0,4.9,26.1,533263,871130,2039710,11601,507634,1491,600.66,316.4
12111,0,280379,277789,0.0,0.9,277789,5.7,21.9,20.4,51.2,76.2,19.5,0.6,1.8,0.1,1.9,16.8,61.1,83.3,15.7,20.7,83.2,17.9,27006,28.2,137581,75.3,19.9,157600,103900,2.61,23172,44947,15.3,4881,51918,24.9,20697,24858,12.8,0.0,2.4,0.0,13.9,31.7,916481,693623,3697675,14197,268322,315,571.93,485.7
12113,0,154104,151372,0.0,1.8,151372,5.9,23.4,13.2,49.6,88.2,6.0,0.9,2.0,0.2,2.8,4.6,84.3,81.2,4.6,6.8,89.3,25.6,20294,27.6,65728,76.3,10.7,173400,55956,2.63,26507,55913,10.8,2465,20595,15.7,10105,12874,2.2,0.0,0.0,0.0,2.6,31.5,74894,148932,1107974,7499,135111,567,1011.61,149.6
12115,0,382213,379448,0.0,0.7,379448,3.8,15.5,31.7,52.2,91.9,5.0,0.3,1.4,0.1,1.3,8.2,84.4,84.5,11.5,12.3,91.1,29.3,48765,21.7,229346,76.2,24.8,213400,169256,2.20,33096,49212,11.0,12377,118581,-26.4,35430,46390,2.1,0.2,1.5,0.0,5.3,26.2,1366676,1560297,5599478,15181,844369,744,555.87,682.6
12117,0,425071,422718,0.0,0.6,422718,5.4,22.4,12.4,51.6,81.6,11.7,0.4,3.9,0.1,2.2,17.7,65.8,86.6,11.5,18.3,91.1,34.0,31727,25.7,182625,71.5,25.3,225500,150443,2.77,29894,58908,10.0,12450,139752,1.9,35713,46725,5.4,0.3,3.4,0.0,11.2,28.8,1634749,2852650,6872148,16831,764148,1120,309.22,1367.0
12119,0,97756,93420,0.0,4.6,93420,2.3,8.7,45.5,48.2,88.4,9.5,0.4,0.8,0.1,0.8,6.0,83.1,86.1,5.7,8.2,85.5,20.0,17267,25.0,55988,89.6,2.6,186800,40294,2.00,25070,44817,11.2,1137,14261,186.0,4611,5207,0.0,0.0,0.0,0.0,4.5,31.4,367864,0,672106,9244,79933,2655,546.93,170.8
12121,0,41972,41551,0.0,1.0,41551,6.3,22.8,19.2,49.6,85.2,11.9,0.7,0.7,0.1,1.5,9.0,77.0,85.4,5.2,6.7,80.7,10.1,4249,27.8,19417,73.6,5.9,108900,15810,2.54,19094,37775,19.6,689,8133,10.1,2375,3112,5.2,0.0,0.0,0.0,3.4,0.0,0,108657,353760,8962,31870,28,688.55,60.3
12123,0,22691,22568,0.0,0.5,22570,5.8,19.5,16.0,44.3,75.9,20.9,0.9,0.8,0.0,1.6,3.6,72.7,84.6,2.1,5.6,77.7,10.8,2427,23.5,11085,83.5,3.1,89700,7632,2.66,18291,38005,17.4,409,4605,-8.8,992,1475,0.0,0.0,0.0,0.0,0.0,0.0,595497,0,207073,9886,19967,21,1043.31,21.6
12125,0,15388,15535,0.0,-0.9,15535,5.1,19.2,10.6,35.4,75.4,22.6,0.5,0.3,0.0,1.3,5.2,70.9,83.4,5.7,8.6,76.0,10.0,1888,23.7,4566,66.4,5.4,113500,3665,3.11,14210,45645,18.2,137,1760,21.8,573,722,0.0,0.0,0.0,0.0,0.0,37.1,0,0,42047,2855,10512,9,243.56,63.8
12127,0,494804,494597,0.0,0.0,494593,4.9,18.6,21.5,51.2,85.2,10.9,0.4,1.6,0.1,1.8,11.5,75.0,86.1,7.3,12.8,87.5,20.8,57007,25.1,254981,75.0,21.5,172100,197382,2.44,24536,44169,15.0,11779,127546,-2.8,35348,46499,4.1,0.0,2.7,0.0,6.8,0.0,1948646,2002931,6099931,12230,899154,1024,1101.03,449.2
12129,0,30978,30776,0.0,0.7,30776,5.5,21.9,11.3,44.9,82.0,14.9,0.6,0.5,0.1,1.8,3.6,79.0,85.5,2.7,4.7,86.5,17.3,3643,29.1,12721,84.2,4.8,136900,10539,2.57,22089,54151,12.8,417,3155,26.6,2048,2750,0.0,1.3,0.0,0.0,0.0,0.0,0,7019,167697,5544,20092,47,606.42,50.8
12131,0,55793,55043,0.0,1.4,55043,5.8,20.2,17.0,48.7,89.5,6.2,0.9,1.0,0.2,2.2,5.5,84.8,80.4,5.0,7.7,86.2,24.9,6400,26.7,45682,74.0,25.9,174000,22454,2.33,27064,46926,14.9,1682,15426,66.9,5883,7065,0.0,0.0,0.0,0.0,0.0,24.3,0,205148,705008,13387,312686,552,1037.63,53.0
12133,0,24935,24896,0.0,0.2,24896,5.4,20.9,15.9,45.4,80.6,15.4,1.3,0.6,0.1,2.0,3.2,77.9,86.4,2.6,4.7,79.8,12.3,2599,30.4,10864,76.8,3.5,96600,8727,2.60,18382,37036,20.3,365,3597,-12.9,1480,1273,0.0,0.0,0.0,0.0,0.0,40.1,0,0,177286,7747,18080,23,582.80,42.7
13000,9919945,9812460,9687663,2.4,1.3,9687653,7.0,25.4,11.0,51.1,63.2,31.0,0.5,3.4,0.1,1.8,9.1,55.5,83.0,9.7,12.9,84.0,27.5,702919,27.0,4102992,66.8,20.5,160200,3490754,2.68,25383,49736,16.5,217099,3315274,-4.8,771155,901105,20.4,0.7,5.1,0.1,3.6,30.9,144280774,141962359,117516907,12326,16976235,18493,57513.49,168.4
13001,0,18420,18236,0.0,1.0,18236,6.9,25.2,13.8,49.3,78.0,19.7,0.4,0.8,0.2,0.8,9.4,69.6,90.3,5.7,9.6,75.1,9.3,1082,22.6,8559,71.0,5.3,82300,7062,2.53,18899,34989,23.2,385,5392,14.9,1093,1627,0.0,0.0,0.0,0.0,2.7,21.5,347120,58142,179447,10022,15835,2,507.08,36.0
13003,0,8413,8375,0.0,0.5,8375,8.9,29.5,10.8,49.7,77.3,18.1,1.3,0.6,1.0,1.7,24.8,56.2,86.4,10.9,19.9,64.9,8.3,493,20.4,3560,69.1,8.4,61100,2745,3.03,15172,32814,31.5,95,933,-26.4,495,582,0.0,0.0,0.0,0.0,0.0,27.5,0,0,35656,4367,937,4,339.38,24.7
13005,0,11203,11096,0.0,1.0,11096,7.3,25.7,13.3,50.4,81.6,16.2,0.4,0.5,0.1,1.2,7.5,75.0,81.4,5.0,5.9,71.9,8.0,556,28.0,4824,66.0,5.3,67300,3909,2.73,16561,32065,20.1,217,2493,-10.9,625,716,0.0,0.0,0.0,0.0,0.0,26.3,165420,120704,68612,6495,5947,0,258.58,42.9
